IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
129.159.22.4,443,443,true,MAA,Asia Pacific,IN,Chennai,131,4.07
144.24.20.92,8443,443,true,LAX,North America,US,Los Angeles,229,4.05
192.18.148.248,443,443,true,YYZ,North America,CA,Toronto,369,4.02
152.67.139.233,443,443,true,FRA,Europe,DE,Frankfurt,390,4.00
150.230.146.170,2053,443,true,FRA,Europe,DE,Frankfurt,198,3.95
158.101.219.125,443,443,true,FRA,Europe,DE,Frankfurt,241,3.90
155.248.178.58,80,443,true,NRT,Asia Pacific,JP,Tokyo,170,3.89
158.180.89.73,443,443,true,ICN,Asia Pacific,KR,Seoul,128,3.87
150.230.158.4,443,443,true,FRA,Europe,DE,Frankfurt,306,3.84
146.56.42.221,443,443,true,LAX,North America,US,Los Angeles,371,3.81
132.226.114.74,443,443,true,LAX,North America,US,Los Angeles,310,3.81
158.101.208.253,443,443,true,FRA,Europe,DE,Frankfurt,261,3.78
132.226.31.178,443,443,true,LAX,North America,US,Los Angeles,294,3.74
152.70.61.105,443,443,true,FRA,Europe,DE,Frankfurt,275,3.74
84.8.157.53,443,443,true,FRA,Europe,DE,Frankfurt,242,3.74
84.235.175.52,443,443,true,FRA,Europe,DE,Frankfurt,395,3.73
138.2.140.160,443,443,true,FRA,Europe,DE,Frankfurt,378,3.72
138.2.158.108,443,443,true,FRA,Europe,DE,Frankfurt,427,3.65
158.101.215.142,443,443,true,FRA,Europe,DE,Frankfurt,291,3.64
158.180.231.216,443,443,true,MRS,Europe,FR,Marseille,343,3.60
129.80.177.42,443,443,true,IAD,North America,US,Ashburn,346,3.59
129.146.221.78,443,8443,true,LAX,North America,US,Los Angeles,338,3.57
150.230.200.74,443,443,true,LAX,North America,US,Los Angeles,279,3.56
150.230.149.159,443,443,true,FRA,Europe,DE,Frankfurt,255,3.54
144.24.189.222,443,443,true,FRA,Europe,DE,Frankfurt,295,3.52
138.2.182.72,443,443,true,FRA,Europe,DE,Frankfurt,308,3.51
152.70.95.227,443,443,true,LAX,North America,US,Los Angeles,424,3.50
129.159.129.107,2053,443,true,TLV,Middle East,IL,Tel Aviv,291,3.50
144.21.49.56,443,443,true,FRA,Europe,DE,Frankfurt,217,3.45
193.123.69.77,443,443,true,MRS,Europe,FR,Marseille,353,3.40
130.61.70.57,443,443,true,FRA,Europe,DE,Frankfurt,312,3.40
152.70.255.52,443,443,true,LAX,North America,US,Los Angeles,402,3.38
89.168.118.25,443,443,true,FRA,Europe,DE,Frankfurt,261,3.38
141.148.187.195,443,443,true,LAX,North America,US,Los Angeles,241,3.37
158.101.215.41,443,443,true,FRA,Europe,DE,Frankfurt,321,3.32
193.122.6.96,443,443,true,FRA,Europe,DE,Frankfurt,307,3.31
79.72.67.75,443,443,true,FRA,Europe,DE,Frankfurt,229,3.30
141.147.9.206,443,443,true,FRA,Europe,DE,Frankfurt,263,3.28
158.180.48.76,443,443,true,FRA,Europe,DE,Frankfurt,331,3.25
141.148.247.3,443,443,true,FRA,Europe,DE,Frankfurt,482,3.23
193.123.184.109,443,443,true,FRA,Europe,DE,Frankfurt,362,3.20
158.101.211.201,443,443,true,FRA,Europe,DE,Frankfurt,321,3.20
193.123.181.81,443,443,true,FRA,Europe,DE,Frankfurt,269,3.19
143.47.252.113,443,443,true,FRA,Europe,DE,Frankfurt,199,3.18
158.178.156.194,443,443,true,FRA,Europe,DE,Frankfurt,423,3.16
140.238.126.66,443,443,true,FRA,Europe,DE,Frankfurt,289,3.13
129.151.198.3,8443,443,true,ARN,Europe,SE,Stockholm,241,3.08
131.186.60.210,443,443,true,NRT,Asia Pacific,JP,Tokyo,211,3.06
204.216.216.148,8443,443,true,MXP,Europe,IT,Milan,383,3.05
152.70.155.147,2083,2083,true,LAX,North America,US,Los Angeles,302,3.03
132.145.248.65,443,443,true,FRA,Europe,DE,Frankfurt,201,3.00
141.147.61.116,2053,443,true,FRA,Europe,DE,Frankfurt,213,2.99
152.67.231.219,443,443,true,SJC,North America,US,San Jose,344,2.96
89.168.68.57,2053,443,true,FRA,Europe,DE,Frankfurt,206,2.94
193.123.179.66,443,443,true,FRA,Europe,DE,Frankfurt,253,2.91
129.158.198.241,2053,443,true,IAD,North America,US,Ashburn,400,2.89
138.2.227.164,443,443,true,SJC,North America,US,San Jose,294,2.85
129.159.241.172,443,443,true,FRA,Europe,DE,Frankfurt,194,2.83
138.3.241.79,443,443,true,FRA,Europe,DE,Frankfurt,340,2.81
144.21.36.63,443,443,true,FRA,Europe,DE,Frankfurt,181,2.80
129.159.222.12,443,443,true,FRA,Europe,DE,Frankfurt,289,2.75
131.186.60.210,8080,443,true,NRT,Asia Pacific,JP,Tokyo,108,2.70
158.178.144.178,443,443,true,FRA,Europe,DE,Frankfurt,333,2.69
150.230.117.171,443,443,true,FRA,Europe,DE,Frankfurt,179,2.67
152.70.155.147,2053,2053,true,LAX,North America,US,Los Angeles,430,2.63
140.238.158.238,8080,443,true,YYZ,North America,CA,Toronto,501,2.57
89.168.96.219,443,443,true,FRA,Europe,DE,Frankfurt,363,2.57
150.230.126.124,443,443,true,FRA,Europe,DE,Frankfurt,274,2.56
152.70.27.42,443,443,true,FRA,Europe,DE,Frankfurt,288,2.56
132.145.53.55,8443,443,true,LHR,Europe,GB,London,189,2.54
141.148.224.250,443,443,true,FRA,Europe,DE,Frankfurt,210,2.53
132.145.53.55,2053,443,true,LHR,Europe,GB,London,392,2.52
144.22.252.124,443,443,true,GRU,South America,BR,São Paulo,345,2.47
89.168.90.85,443,443,true,FRA,Europe,DE,Frankfurt,270,2.40
141.147.190.168,443,443,true,LAX,North America,US,Los Angeles,244,2.38
130.162.168.184,443,443,true,FRA,Europe,DE,Frankfurt,309,2.38
150.230.113.122,443,443,true,FRA,Europe,DE,Frankfurt,172,2.37
89.168.43.28,443,443,true,CDG,Europe,FR,Paris,338,2.36
193.122.12.254,443,443,true,FRA,Europe,DE,Frankfurt,300,2.36
130.162.41.93,443,443,true,FRA,Europe,DE,Frankfurt,174,2.35
129.159.11.158,443,443,true,FRA,Europe,DE,Frankfurt,189,2.34
141.148.224.67,443,443,true,FRA,Europe,DE,Frankfurt,404,2.34
129.151.225.228,8443,443,true,MRS,Europe,FR,Marseille,386,2.34
138.2.17.204,443,443,true,LAX,North America,US,Los Angeles,468,2.27
141.144.202.10,443,443,true,FRA,Europe,DE,Frankfurt,191,2.26
89.168.43.31,8443,443,true,CDG,Europe,FR,Paris,264,2.20
158.178.151.13,443,443,true,FRA,Europe,DE,Frankfurt,315,2.20
141.147.40.34,443,443,true,FRA,Europe,DE,Frankfurt,203,2.19
158.178.206.197,8443,443,true,CDG,Europe,FR,Paris,324,2.18
141.148.164.242,8443,443,true,LAX,North America,US,Los Angeles,344,2.18
79.76.45.137,2053,443,true,ARN,Europe,SE,Stockholm,363,2.16
141.147.112.21,443,443,true,FRA,Europe,DE,Frankfurt,431,2.12
143.47.236.24,443,443,true,FRA,Europe,DE,Frankfurt,193,2.10
146.56.176.133,443,443,true,LAX,North America,US,Los Angeles,379,2.05
89.168.17.228,443,443,true,MXP,Europe,IT,Milan,261,2.04
143.47.255.220,443,443,true,FRA,Europe,DE,Frankfurt,223,2.03
158.180.49.11,8443,443,true,FRA,Europe,DE,Frankfurt,228,2.03
158.101.216.118,443,443,true,FRA,Europe,DE,Frankfurt,290,2.01
158.180.49.11,2053,443,true,FRA,Europe,DE,Frankfurt,244,1.99
141.147.109.88,443,443,true,FRA,Europe,DE,Frankfurt,219,1.98
140.238.158.238,443,443,true,YYZ,North America,CA,Toronto,317,1.95
130.162.161.216,443,443,true,FRA,Europe,DE,Frankfurt,309,1.94
84.8.154.19,443,443,true,FRA,Europe,DE,Frankfurt,239,1.92
143.47.250.182,443,443,true,FRA,Europe,DE,Frankfurt,260,1.91
130.162.52.113,443,443,true,FRA,Europe,DE,Frankfurt,252,1.89
130.162.40.193,443,443,true,FRA,Europe,DE,Frankfurt,225,1.88
130.162.190.204,443,443,true,FRA,Europe,DE,Frankfurt,247,1.86
130.162.58.188,443,443,true,FRA,Europe,DE,Frankfurt,295,1.86
79.76.123.112,443,443,true,FRA,Europe,DE,Frankfurt,241,1.86
158.179.206.18,8443,443,true,ARN,Europe,SE,Stockholm,285,1.81
152.70.50.143,443,443,true,FRA,Europe,DE,Frankfurt,238,1.81
89.168.68.57,8443,443,true,FRA,Europe,DE,Frankfurt,290,1.79
141.148.164.242,2053,443,true,LAX,North America,US,Los Angeles,327,1.79
152.67.159.92,443,443,true,FRA,Europe,DE,Frankfurt,312,1.78
141.145.199.188,443,443,true,CDG,Europe,FR,Paris,351,1.77
141.147.32.163,443,443,true,FRA,Europe,DE,Frankfurt,306,1.74
193.123.57.32,443,443,true,FRA,Europe,DE,Frankfurt,337,1.73
129.151.254.48,443,443,true,MRS,Europe,FR,Marseille,338,1.72
158.101.207.38,443,443,true,FRA,Europe,DE,Frankfurt,219,1.72
129.151.104.245,8443,443,true,SCL,South America,CL,Santiago,350,1.71
132.145.64.190,443,443,true,FRA,Europe,DE,Frankfurt,215,1.70
79.72.86.39,443,443,true,FRA,Europe,DE,Frankfurt,224,1.69
79.72.76.109,2053,443,true,LHR,Europe,GB,London,242,1.68
152.70.57.11,443,443,true,FRA,Europe,DE,Frankfurt,351,1.68
158.178.206.197,2053,443,true,CDG,Europe,FR,Paris,481,1.67
84.8.159.182,443,443,true,FRA,Europe,DE,Frankfurt,238,1.66
84.235.175.198,443,443,true,FRA,Europe,DE,Frankfurt,294,1.65
89.168.83.143,8443,443,true,FRA,Europe,DE,Frankfurt,251,1.62
141.144.197.63,443,443,true,FRA,Europe,DE,Frankfurt,221,1.61
130.162.36.10,443,443,true,FRA,Europe,DE,Frankfurt,310,1.60
193.123.190.50,443,443,true,FRA,Europe,DE,Frankfurt,343,1.55
138.2.129.30,443,443,true,FRA,Europe,DE,Frankfurt,312,1.53
141.148.244.49,443,443,true,FRA,Europe,DE,Frankfurt,346,1.52
141.147.8.148,443,443,true,FRA,Europe,DE,Frankfurt,301,1.50
141.148.234.123,443,443,true,FRA,Europe,DE,Frankfurt,225,1.50
79.72.76.101,443,443,true,FRA,Europe,DE,Frankfurt,279,1.49
84.235.160.99,443,443,true,FRA,Europe,DE,Frankfurt,245,1.48
138.3.254.39,443,443,true,FRA,Europe,DE,Frankfurt,401,1.45
132.226.163.224,8443,443,true,GRU,South America,BR,São Paulo,533,1.45
193.122.58.158,443,443,true,FRA,Europe,DE,Frankfurt,281,1.44
79.76.106.218,443,443,true,FRA,Europe,DE,Frankfurt,309,1.42
158.180.230.4,2053,443,true,MXP,Europe,IT,Milan,334,1.41
84.235.168.84,443,443,true,FRA,Europe,DE,Frankfurt,238,1.41
84.8.158.220,443,443,true,FRA,Europe,DE,Frankfurt,238,1.40
141.148.238.206,443,443,true,FRA,Europe,DE,Frankfurt,242,1.40
141.147.61.116,8443,443,true,FRA,Europe,DE,Frankfurt,329,1.38
79.72.76.109,8443,443,true,LHR,Europe,GB,London,218,1.38
130.162.239.17,443,443,true,FRA,Europe,DE,Frankfurt,424,1.38
129.159.253.28,443,443,true,FRA,Europe,DE,Frankfurt,298,1.37
193.123.186.128,443,443,true,FRA,Europe,DE,Frankfurt,272,1.37
152.67.152.124,443,443,true,FRA,Europe,DE,Frankfurt,379,1.36
84.8.158.51,443,443,true,FRA,Europe,DE,Frankfurt,233,1.35
193.123.186.231,443,443,true,FRA,Europe,DE,Frankfurt,273,1.33
158.178.156.92,443,443,true,FRA,Europe,DE,Frankfurt,277,1.31
193.123.183.193,443,443,true,FRA,Europe,DE,Frankfurt,311,1.27
89.168.124.235,443,443,true,FRA,Europe,DE,Frankfurt,260,1.24
138.2.143.100,443,443,true,FRA,Europe,DE,Frankfurt,301,1.22
193.123.57.31,443,443,true,FRA,Europe,DE,Frankfurt,265,1.20
193.123.62.143,443,443,true,FRA,Europe,DE,Frankfurt,287,1.20
141.148.229.150,443,443,true,FRA,Europe,DE,Frankfurt,227,1.19
141.147.96.142,443,443,true,FRA,Europe,DE,Frankfurt,249,1.19
129.158.198.241,8443,443,true,IAD,North America,US,Ashburn,359,1.16
141.147.88.149,443,443,true,FRA,Europe,DE,Frankfurt,328,1.15
141.147.19.105,443,443,true,FRA,Europe,DE,Frankfurt,314,1.15
144.21.53.61,443,443,true,FRA,Europe,DE,Frankfurt,182,1.12
193.123.181.100,443,443,true,FRA,Europe,DE,Frankfurt,245,1.09
141.147.88.170,443,443,true,FRA,Europe,DE,Frankfurt,377,1.08
141.147.77.51,443,443,true,FRA,Europe,DE,Frankfurt,356,1.07
130.162.57.184,443,443,true,FRA,Europe,DE,Frankfurt,321,1.06
84.235.171.90,443,443,true,FRA,Europe,DE,Frankfurt,388,1.05
138.2.150.35,443,443,true,FRA,Europe,DE,Frankfurt,307,1.04
141.147.3.94,443,443,true,FRA,Europe,DE,Frankfurt,220,1.03
79.72.75.52,443,443,true,FRA,Europe,DE,Frankfurt,314,1.03
158.101.214.54,443,443,true,AMS,Europe,NL,Amsterdam,329,1.02
79.76.103.2,443,443,true,FRA,Europe,DE,Frankfurt,213,1.02
141.147.61.31,443,443,true,FRA,Europe,DE,Frankfurt,344,1.01
141.147.88.167,443,443,true,FRA,Europe,DE,Frankfurt,222,1.00
152.67.153.65,443,443,true,FRA,Europe,DE,Frankfurt,406,0.99
138.2.137.55,443,443,true,FRA,Europe,DE,Frankfurt,481,0.98
130.162.249.152,443,443,true,FRA,Europe,DE,Frankfurt,297,0.98
138.2.178.216,443,443,true,FRA,Europe,DE,Frankfurt,358,0.97
84.235.174.29,443,443,true,FRA,Europe,DE,Frankfurt,235,0.94
152.70.44.143,443,443,true,FRA,Europe,DE,Frankfurt,410,0.92
141.147.19.222,443,443,true,FRA,Europe,DE,Frankfurt,280,0.91
79.72.65.200,443,443,true,FRA,Europe,DE,Frankfurt,248,0.91
158.180.12.217,443,443,true,FRA,Europe,DE,Frankfurt,289,0.91
132.226.131.113,443,443,true,FRA,Europe,DE,Frankfurt,296,0.91
79.72.66.84,443,443,true,FRA,Europe,DE,Frankfurt,254,0.90
84.235.169.168,443,443,true,FRA,Europe,DE,Frankfurt,270,0.86
130.162.169.89,443,443,true,FRA,Europe,DE,Frankfurt,329,0.86
144.21.52.135,443,443,true,FRA,Europe,DE,Frankfurt,192,0.85
130.162.229.239,443,443,true,FRA,Europe,DE,Frankfurt,261,0.85
141.144.232.247,443,443,true,FRA,Europe,DE,Frankfurt,168,0.85
158.101.209.76,443,443,true,AMS,Europe,NL,Amsterdam,298,0.84
130.162.167.220,443,443,true,FRA,Europe,DE,Frankfurt,310,0.84
129.159.143.171,2053,443,true,TLV,Middle East,IL,Tel Aviv,311,0.83
141.144.197.111,443,443,true,AMS,Europe,NL,Amsterdam,371,0.83
130.162.255.101,443,443,true,FRA,Europe,DE,Frankfurt,251,0.82
158.179.206.18,2053,443,true,ARN,Europe,SE,Stockholm,439,0.82
84.235.166.123,443,443,true,FRA,Europe,DE,Frankfurt,289,0.79
84.235.173.167,443,443,true,FRA,Europe,DE,Frankfurt,255,0.79
79.72.87.213,443,443,true,FRA,Europe,DE,Frankfurt,212,0.79
146.56.190.219,443,443,true,LAX,North America,US,Los Angeles,366,0.78
152.70.171.169,443,443,true,FRA,Europe,DE,Frankfurt,263,0.78
152.70.56.107,443,443,true,FRA,Europe,DE,Frankfurt,324,0.78
193.123.36.190,443,443,true,FRA,Europe,DE,Frankfurt,361,0.78
138.2.174.143,443,443,true,FRA,Europe,DE,Frankfurt,315,0.77
138.2.188.110,443,443,true,FRA,Europe,DE,Frankfurt,337,0.76
141.147.85.186,443,443,true,FRA,Europe,DE,Frankfurt,248,0.75
158.180.13.2,443,443,true,FRA,Europe,DE,Frankfurt,225,0.74
89.168.94.149,443,443,true,FRA,Europe,DE,Frankfurt,237,0.74
89.168.43.31,2053,443,true,CDG,Europe,FR,Paris,307,0.74
144.21.39.24,443,443,true,FRA,Europe,DE,Frankfurt,185,0.73
152.70.61.25,443,443,true,FRA,Europe,DE,Frankfurt,475,0.73
143.47.180.182,443,443,true,FRA,Europe,DE,Frankfurt,256,0.72
129.159.132.0,8443,443,true,TLV,Middle East,IL,Tel Aviv,303,0.72
143.47.180.100,443,443,true,FRA,Europe,DE,Frankfurt,208,0.71
84.235.168.232,443,443,true,FRA,Europe,DE,Frankfurt,243,0.71
158.180.13.45,443,443,true,FRA,Europe,DE,Frankfurt,209,0.67
130.162.152.241,443,443,true,LAX,North America,US,Los Angeles,360,0.65
152.67.154.134,443,443,true,FRA,Europe,DE,Frankfurt,313,0.65
89.168.85.217,443,443,true,FRA,Europe,DE,Frankfurt,247,0.64
141.148.227.19,443,443,true,AMS,Europe,NL,Amsterdam,342,0.63
89.168.93.241,443,443,true,FRA,Europe,DE,Frankfurt,253,0.63
158.180.18.90,443,443,true,FRA,Europe,DE,Frankfurt,193,0.61
130.162.179.231,443,443,true,FRA,Europe,DE,Frankfurt,240,0.58
152.67.149.10,443,443,true,FRA,Europe,DE,Frankfurt,380,0.56
79.72.81.95,443,443,true,FRA,Europe,DE,Frankfurt,354,0.56
152.70.57.46,443,443,true,FRA,Europe,DE,Frankfurt,339,0.56
158.178.155.169,443,443,true,FRA,Europe,DE,Frankfurt,279,0.55
141.148.225.11,443,443,true,FRA,Europe,DE,Frankfurt,325,0.54
152.70.163.48,443,443,true,FRA,Europe,DE,Frankfurt,255,0.53
129.159.129.107,8443,443,true,TLV,Middle East,IL,Tel Aviv,251,0.53
158.180.34.243,443,443,true,FRA,Europe,DE,Frankfurt,333,0.51
141.148.233.13,443,443,true,FRA,Europe,DE,Frankfurt,223,0.51
141.148.230.111,443,443,true,FRA,Europe,DE,Frankfurt,286,0.50
141.148.227.98,443,443,true,FRA,Europe,DE,Frankfurt,215,0.50
141.148.236.12,443,443,true,FRA,Europe,DE,Frankfurt,204,0.49
84.8.154.252,443,443,true,FRA,Europe,DE,Frankfurt,203,0.44
158.178.151.156,443,443,true,FRA,Europe,DE,Frankfurt,356,0.44
141.148.245.137,443,443,true,FRA,Europe,DE,Frankfurt,475,0.42
84.8.158.135,443,443,true,FRA,Europe,DE,Frankfurt,230,0.42
158.180.14.212,443,443,true,FRA,Europe,DE,Frankfurt,345,0.40
130.162.224.203,443,443,true,FRA,Europe,DE,Frankfurt,278,0.40
141.148.247.74,443,443,true,FRA,Europe,DE,Frankfurt,226,0.40
158.178.193.206,443,443,true,CDG,Europe,FR,Paris,302,0.40
141.148.242.113,8443,443,true,AMS,Europe,NL,Amsterdam,315,0.39
138.2.167.241,443,443,true,FRA,Europe,DE,Frankfurt,307,0.38
64.110.89.211,443,443,true,LAX,North America,US,Los Angeles,350,0.38
129.159.84.71,443,443,true,IAD,North America,US,Ashburn,230,0.36
158.180.27.39,443,443,true,FRA,Europe,DE,Frankfurt,355,0.36
158.178.157.97,443,443,true,FRA,Europe,DE,Frankfurt,365,0.36
152.67.149.182,443,443,true,FRA,Europe,DE,Frankfurt,327,0.35
79.76.107.37,443,443,true,FRA,Europe,DE,Frankfurt,272,0.35
146.56.191.235,443,443,true,LAX,North America,US,Los Angeles,358,0.34
143.47.244.2,443,443,true,FRA,Europe,DE,Frankfurt,251,0.33
143.47.252.210,443,443,true,FRA,Europe,DE,Frankfurt,204,0.33
143.47.239.203,443,443,true,FRA,Europe,DE,Frankfurt,214,0.32
158.180.32.90,443,443,true,FRA,Europe,DE,Frankfurt,268,0.31
79.72.69.248,443,443,true,FRA,Europe,DE,Frankfurt,241,0.31
141.148.246.65,443,443,true,FRA,Europe,DE,Frankfurt,195,0.30
193.123.58.144,443,443,true,FRA,Europe,DE,Frankfurt,416,0.30
144.21.59.90,443,443,true,FRA,Europe,DE,Frankfurt,262,0.29
144.21.32.42,443,443,true,FRA,Europe,DE,Frankfurt,185,0.28
158.179.207.182,8443,443,true,ARN,Europe,SE,Stockholm,300,0.27
150.230.20.156,2053,443,true,AMS,Europe,NL,Amsterdam,357,0.27
144.21.41.226,443,443,true,FRA,Europe,DE,Frankfurt,187,0.27
158.180.53.254,443,443,true,FRA,Europe,DE,Frankfurt,224,0.27
143.47.190.82,443,443,true,FRA,Europe,DE,Frankfurt,210,0.26
158.180.24.168,443,443,true,FRA,Europe,DE,Frankfurt,261,0.25
143.47.191.74,443,443,true,FRA,Europe,DE,Frankfurt,258,0.24
144.21.40.149,443,443,true,FRA,Europe,DE,Frankfurt,333,0.24
143.47.188.105,443,443,true,FRA,Europe,DE,Frankfurt,199,0.23
129.159.132.0,2053,443,true,TLV,Middle East,IL,Tel Aviv,218,0.22
204.216.216.148,2053,443,true,MXP,Europe,IT,Milan,312,0.21
138.2.167.22,443,443,true,FRA,Europe,DE,Frankfurt,311,0.21
143.47.225.145,443,443,true,FRA,Europe,DE,Frankfurt,243,0.20
158.101.199.249,8443,443,true,AMS,Europe,NL,Amsterdam,405,0.20
143.47.236.250,443,443,true,FRA,Europe,DE,Frankfurt,239,0.18
138.2.172.140,443,443,true,FRA,Europe,DE,Frankfurt,322,0.18
152.67.148.218,443,443,true,FRA,Europe,DE,Frankfurt,367,0.18
143.47.180.155,443,443,true,FRA,Europe,DE,Frankfurt,229,0.17
129.151.198.3,2053,443,true,ARN,Europe,SE,Stockholm,313,0.17
152.67.149.28,443,443,true,FRA,Europe,DE,Frankfurt,317,0.16
152.70.49.115,443,443,true,AMS,Europe,NL,Amsterdam,439,0.16
