IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
152.70.103.56,443,443,true,LAX,North America,US,Los Angeles,378,5.53
168.138.212.196,2096,2096,true,NRT,Asia Pacific,JP,Tokyo,205,5.51
141.147.44.29,443,443,true,FRA,Europe,DE,Frankfurt,324,5.51
129.213.196.231,443,443,true,IAD,North America,US,Ashburn,261,5.50
144.24.90.107,443,443,true,ICN,Asia Pacific,KR,Seoul,170,5.49
192.9.180.162,443,443,true,SYD,Oceania,AU,Sydney,248,5.48
152.70.61.211,443,443,true,FRA,Europe,DE,Frankfurt,349,5.44
141.144.206.222,443,443,true,FRA,Europe,DE,Frankfurt,279,5.43
130.162.229.86,443,443,true,FRA,Europe,DE,Frankfurt,247,5.43
64.110.72.118,443,443,true,LAX,North America,US,Los Angeles,375,5.43
152.70.155.147,2083,2083,true,LAX,North America,US,Los Angeles,496,5.42
84.8.156.87,443,443,true,FRA,Europe,DE,Frankfurt,280,5.38
130.162.48.5,443,443,true,FRA,Europe,DE,Frankfurt,326,5.37
150.230.182.137,443,443,true,IAD,North America,US,Ashburn,366,5.36
152.70.53.5,443,443,true,FRA,Europe,DE,Frankfurt,273,5.34
141.147.34.224,443,443,true,FRA,Europe,DE,Frankfurt,244,5.32
129.80.61.82,443,443,true,IAD,North America,US,Ashburn,297,5.31
84.235.167.10,443,443,true,FRA,Europe,DE,Frankfurt,300,5.29
146.56.106.158,443,443,true,ICN,Asia Pacific,KR,Seoul,250,5.29
131.186.30.44,2053,443,true,ICN,Asia Pacific,KR,Seoul,146,5.29
79.76.117.187,443,443,true,FRA,Europe,DE,Frankfurt,273,5.28
129.80.157.107,443,443,true,IAD,North America,US,Ashburn,257,5.26
129.154.46.115,443,443,true,HYD,Asia Pacific,IN,Hyderabad,413,5.26
141.147.96.15,443,443,true,FRA,Europe,DE,Frankfurt,242,5.26
129.154.222.227,443,443,true,LAX,North America,US,Los Angeles,367,5.26
193.122.119.237,443,443,true,ICN,Asia Pacific,KR,Seoul,160,5.25
84.235.164.192,443,443,true,FRA,Europe,DE,Frankfurt,187,5.24
141.145.205.115,8443,8443,true,CDG,Europe,FR,Paris,306,5.23
64.110.104.30,443,443,true,KIX,Asia Pacific,JP,Osaka,112,5.22
141.147.147.180,443,443,true,KIX,Asia Pacific,JP,Osaka,88,5.21
141.147.70.221,443,443,true,FRA,Europe,DE,Frankfurt,270,5.21
138.2.18.82,8880,443,true,NRT,Asia Pacific,JP,Tokyo,220,5.18
129.159.10.251,443,443,true,FRA,Europe,DE,Frankfurt,237,5.17
144.24.73.232,443,443,true,ICN,Asia Pacific,KR,Seoul,187,5.16
217.142.141.52,443,443,true,ICN,Asia Pacific,KR,Seoul,230,5.16
144.21.51.1,443,443,true,FRA,Europe,DE,Frankfurt,232,5.13
152.69.179.155,443,443,true,MEL,Oceania,AU,Melbourne,189,5.11
84.8.154.155,443,443,true,FRA,Europe,DE,Frankfurt,239,5.08
129.159.22.4,443,443,true,MAA,Asia Pacific,IN,Chennai,87,5.04
158.178.147.136,443,443,true,FRA,Europe,DE,Frankfurt,292,5.02
146.56.101.141,443,443,true,ICN,Asia Pacific,KR,Seoul,66,5.02
152.70.155.147,443,443,true,LAX,North America,US,Los Angeles,365,5.01
141.144.204.111,443,443,true,FRA,Europe,DE,Frankfurt,256,5.00
141.147.83.213,443,443,true,FRA,Europe,DE,Frankfurt,276,5.00
130.162.141.64,443,443,true,LAX,North America,US,Los Angeles,347,4.98
131.186.17.132,443,443,true,ICN,Asia Pacific,KR,Seoul,165,4.96
89.168.79.45,443,443,true,FRA,Europe,DE,Frankfurt,248,4.95
129.159.88.95,443,443,true,IAD,North America,US,Ashburn,254,4.91
152.67.140.1,443,443,true,FRA,Europe,DE,Frankfurt,341,4.89
158.101.177.169,443,443,true,FRA,Europe,DE,Frankfurt,319,4.86
152.70.54.176,443,443,true,FRA,Europe,DE,Frankfurt,308,4.85
130.162.232.5,443,443,true,FRA,Europe,DE,Frankfurt,247,4.83
193.123.63.217,443,443,true,FRA,Europe,DE,Frankfurt,301,4.81
132.145.53.55,2053,443,true,LHR,Europe,GB,London,300,4.78
130.162.160.152,443,443,true,FRA,Europe,DE,Frankfurt,247,4.77
130.162.188.111,443,443,true,FRA,Europe,DE,Frankfurt,332,4.77
132.145.54.84,2053,443,true,LHR,Europe,GB,London,243,4.75
89.168.74.55,443,443,true,FRA,Europe,DE,Frankfurt,199,4.73
143.47.181.206,443,443,true,FRA,Europe,DE,Frankfurt,179,4.72
152.67.231.219,443,443,true,SJC,North America,US,San Jose,333,4.69
143.47.235.245,443,443,true,FRA,Europe,DE,Frankfurt,221,4.65
150.230.116.18,443,443,true,FRA,Europe,DE,Frankfurt,233,4.64
155.248.196.123,443,443,true,YVR,North America,CA,Vancouver,350,4.60
152.70.155.147,8443,8443,true,LAX,North America,US,Los Angeles,364,4.58
158.179.207.182,8443,443,true,ARN,Europe,SE,Stockholm,400,4.55
89.168.123.140,443,443,true,FRA,Europe,DE,Frankfurt,225,4.54
152.70.155.147,2053,2053,true,LAX,North America,US,Los Angeles,348,4.53
141.144.196.80,443,443,true,FRA,Europe,DE,Frankfurt,227,4.53
130.162.223.25,443,443,true,FRA,Europe,DE,Frankfurt,244,4.49
193.122.58.158,443,443,true,FRA,Europe,DE,Frankfurt,167,4.37
89.168.122.230,443,443,true,FRA,Europe,DE,Frankfurt,363,4.36
130.162.172.165,443,443,true,FRA,Europe,DE,Frankfurt,317,4.35
64.110.101.31,8443,443,true,KIX,Asia Pacific,JP,Osaka,105,4.35
158.178.150.139,443,443,true,FRA,Europe,DE,Frankfurt,260,4.34
141.147.57.246,443,443,true,FRA,Europe,DE,Frankfurt,266,4.31
150.230.146.170,2053,443,true,FRA,Europe,DE,Frankfurt,278,4.28
140.238.173.181,2053,443,true,ZRH,Europe,CH,Zurich,222,4.24
143.47.186.59,443,443,true,FRA,Europe,DE,Frankfurt,183,4.23
141.147.8.66,443,443,true,FRA,Europe,DE,Frankfurt,259,4.19
143.47.232.222,443,443,true,FRA,Europe,DE,Frankfurt,183,4.19
193.122.2.24,443,443,true,FRA,Europe,DE,Frankfurt,273,4.18
152.70.155.147,2096,2096,true,LAX,North America,US,Los Angeles,440,4.15
152.70.48.251,443,443,true,FRA,Europe,DE,Frankfurt,270,4.15
168.138.90.241,443,443,true,YYZ,North America,CA,Toronto,312,4.12
140.238.158.238,8080,443,true,YYZ,North America,CA,Toronto,277,4.10
89.168.100.201,443,443,true,FRA,Europe,DE,Frankfurt,236,4.10
129.159.12.63,443,443,true,FRA,Europe,DE,Frankfurt,340,4.02
132.145.152.194,443,443,true,IAD,North America,US,Ashburn,328,4.01
40.233.92.218,443,443,true,YYZ,North America,CA,Toronto,497,3.97
129.146.168.102,443,443,true,LAX,North America,US,Los Angeles,221,3.95
129.151.204.91,443,443,true,ARN,Europe,SE,Stockholm,193,3.93
129.80.86.55,443,443,true,IAD,North America,US,Ashburn,255,3.92
143.47.243.144,8443,443,true,LHR,Europe,GB,London,260,3.91
130.162.166.152,443,443,true,FRA,Europe,DE,Frankfurt,368,3.90
143.47.180.78,443,443,true,FRA,Europe,DE,Frankfurt,303,3.88
141.147.61.116,8443,443,true,FRA,Europe,DE,Frankfurt,271,3.88
89.168.97.191,443,443,true,FRA,Europe,DE,Frankfurt,171,3.84
129.146.254.39,443,443,true,LAX,North America,US,Los Angeles,268,3.83
144.24.187.26,443,443,true,FRA,Europe,DE,Frankfurt,330,3.80
132.145.250.52,443,443,true,FRA,Europe,DE,Frankfurt,304,3.79
129.159.132.0,2053,443,true,TLV,Middle East,IL,Tel Aviv,232,3.76
144.24.20.92,8443,443,true,LAX,North America,US,Los Angeles,298,3.73
132.226.175.155,443,443,true,LAX,North America,US,Los Angeles,297,3.71
146.56.153.255,443,443,true,LAX,North America,US,Los Angeles,312,3.66
129.146.171.186,8443,443,true,LAX,North America,US,Los Angeles,292,3.64
129.151.198.3,8443,443,true,ARN,Europe,SE,Stockholm,249,3.64
158.180.20.16,443,443,true,FRA,Europe,DE,Frankfurt,270,3.61
89.168.17.228,443,443,true,MXP,Europe,IT,Milan,288,3.58
158.101.216.239,443,443,true,FRA,Europe,DE,Frankfurt,431,3.58
143.47.243.144,2053,443,true,LHR,Europe,GB,London,188,3.57
129.159.9.127,443,443,true,FRA,Europe,DE,Frankfurt,203,3.55
132.226.31.178,443,443,true,LAX,North America,US,Los Angeles,274,3.51
141.144.203.241,443,443,true,FRA,Europe,DE,Frankfurt,250,3.42
193.123.61.224,443,443,true,FRA,Europe,DE,Frankfurt,229,3.40
129.159.241.172,443,443,true,FRA,Europe,DE,Frankfurt,201,3.40
144.22.252.124,443,443,true,GRU,South America,BR,São Paulo,413,3.39
129.159.15.198,443,443,true,FRA,Europe,DE,Frankfurt,270,3.38
152.70.52.238,443,443,true,FRA,Europe,DE,Frankfurt,274,3.37
79.72.75.112,443,443,true,FRA,Europe,DE,Frankfurt,316,3.37
150.230.125.122,443,443,true,FRA,Europe,DE,Frankfurt,381,3.36
150.230.20.227,443,443,true,FRA,Europe,DE,Frankfurt,233,3.36
143.47.189.47,443,443,true,FRA,Europe,DE,Frankfurt,275,3.32
193.123.33.235,443,443,true,FRA,Europe,DE,Frankfurt,309,3.29
130.162.44.103,443,443,true,FRA,Europe,DE,Frankfurt,305,3.25
132.226.114.74,443,443,true,LAX,North America,US,Los Angeles,289,3.23
130.162.144.191,443,443,true,ICN,Asia Pacific,KR,Seoul,171,3.22
89.168.82.152,443,443,true,FRA,Europe,DE,Frankfurt,201,3.21
141.144.234.16,443,443,true,FRA,Europe,DE,Frankfurt,211,3.17
89.168.68.57,8443,443,true,FRA,Europe,DE,Frankfurt,291,3.14
84.8.155.151,443,443,true,FRA,Europe,DE,Frankfurt,193,3.14
141.144.246.71,443,443,true,FRA,Europe,DE,Frankfurt,264,3.13
129.159.129.107,2053,443,true,TLV,Middle East,IL,Tel Aviv,317,3.13
144.24.200.164,443,443,true,MRS,Europe,FR,Marseille,512,3.13
192.18.153.119,443,443,true,YYZ,North America,CA,Toronto,380,3.12
152.70.30.140,443,443,true,FRA,Europe,DE,Frankfurt,350,3.12
140.238.5.32,443,443,true,ICN,Asia Pacific,KR,Seoul,139,3.06
158.101.213.11,443,443,true,FRA,Europe,DE,Frankfurt,266,3.04
141.144.206.17,443,443,true,FRA,Europe,DE,Frankfurt,177,3.03
158.180.49.11,8443,443,true,FRA,Europe,DE,Frankfurt,222,3.01
150.230.126.105,443,443,true,FRA,Europe,DE,Frankfurt,260,3.01
217.142.138.20,443,443,true,ICN,Asia Pacific,KR,Seoul,379,2.96
79.72.76.109,8443,443,true,LHR,Europe,GB,London,245,2.84
158.180.60.57,443,443,true,FRA,Europe,DE,Frankfurt,201,2.78
138.2.142.166,443,443,true,FRA,Europe,DE,Frankfurt,368,2.75
129.159.31.110,443,443,true,FRA,Europe,DE,Frankfurt,195,2.75
193.123.60.92,443,443,true,FRA,Europe,DE,Frankfurt,279,2.74
150.136.87.192,443,443,true,IAD,North America,US,Ashburn,254,2.71
193.123.186.59,443,443,true,FRA,Europe,DE,Frankfurt,260,2.68
158.101.205.33,443,443,true,FRA,Europe,DE,Frankfurt,223,2.66
141.148.164.242,8443,443,true,LAX,North America,US,Los Angeles,238,2.66
79.72.64.135,443,443,true,FRA,Europe,DE,Frankfurt,208,2.65
129.159.143.171,8443,443,true,TLV,Middle East,IL,Tel Aviv,212,2.64
158.179.206.18,2053,443,true,ARN,Europe,SE,Stockholm,370,2.63
130.61.195.151,443,443,true,FRA,Europe,DE,Frankfurt,231,2.62
193.122.49.74,443,443,true,FRA,Europe,DE,Frankfurt,349,2.62
158.178.154.73,443,443,true,FRA,Europe,DE,Frankfurt,282,2.62
152.70.166.112,443,443,true,FRA,Europe,DE,Frankfurt,312,2.60
152.70.51.139,443,443,true,FRA,Europe,DE,Frankfurt,288,2.58
138.2.156.76,443,443,true,FRA,Europe,DE,Frankfurt,360,2.55
129.159.31.155,443,443,true,FRA,Europe,DE,Frankfurt,174,2.53
158.101.210.238,443,443,true,FRA,Europe,DE,Frankfurt,199,2.48
138.2.169.63,443,443,true,FRA,Europe,DE,Frankfurt,365,2.46
141.144.206.183,443,443,true,FRA,Europe,DE,Frankfurt,210,2.46
89.168.43.31,2053,443,true,CDG,Europe,FR,Paris,275,2.43
158.180.27.37,443,443,true,FRA,Europe,DE,Frankfurt,299,2.39
168.138.149.17,443,443,true,GRU,South America,BR,São Paulo,408,2.37
143.47.177.51,443,443,true,FRA,Europe,DE,Frankfurt,234,2.37
152.70.92.114,443,443,true,LAX,North America,US,Los Angeles,307,2.37
193.123.183.16,443,443,true,FRA,Europe,DE,Frankfurt,314,2.36
141.144.197.111,443,443,true,AMS,Europe,NL,Amsterdam,295,2.33
89.168.116.6,443,443,true,FRA,Europe,DE,Frankfurt,210,2.30
141.144.246.222,443,443,true,FRA,Europe,DE,Frankfurt,243,2.29
141.148.244.250,443,443,true,FRA,Europe,DE,Frankfurt,335,2.28
143.47.245.195,443,443,true,FRA,Europe,DE,Frankfurt,174,2.26
143.47.235.18,443,443,true,FRA,Europe,DE,Frankfurt,218,2.24
89.168.43.31,8443,443,true,CDG,Europe,FR,Paris,359,2.23
141.144.196.171,443,443,true,FRA,Europe,DE,Frankfurt,202,2.20
79.72.89.85,443,443,true,FRA,Europe,DE,Frankfurt,316,2.19
141.147.85.167,8443,443,true,LHR,Europe,GB,London,220,2.19
141.147.119.200,443,443,true,FRA,Europe,DE,Frankfurt,294,2.18
141.147.89.158,443,443,true,FRA,Europe,DE,Frankfurt,340,2.16
89.168.94.134,443,443,true,FRA,Europe,DE,Frankfurt,176,2.14
143.47.246.150,443,443,true,FRA,Europe,DE,Frankfurt,238,2.13
152.70.56.74,443,443,true,FRA,Europe,DE,Frankfurt,275,2.12
89.168.73.108,443,443,true,FRA,Europe,DE,Frankfurt,288,2.12
143.47.180.190,443,443,true,FRA,Europe,DE,Frankfurt,188,2.12
150.230.201.75,443,443,true,LAX,North America,US,Los Angeles,358,2.11
158.178.155.66,443,443,true,FRA,Europe,DE,Frankfurt,262,2.10
150.230.21.84,443,443,true,FRA,Europe,DE,Frankfurt,349,2.08
79.72.65.137,443,443,true,FRA,Europe,DE,Frankfurt,196,2.07
141.148.235.166,443,443,true,FRA,Europe,DE,Frankfurt,322,2.06
143.47.190.34,443,443,true,FRA,Europe,DE,Frankfurt,290,2.02
158.180.15.136,443,443,true,FRA,Europe,DE,Frankfurt,261,1.91
193.122.107.147,443,443,true,ICN,Asia Pacific,KR,Seoul,368,1.90
141.148.235.20,443,443,true,FRA,Europe,DE,Frankfurt,214,1.89
143.47.182.1,443,443,true,FRA,Europe,DE,Frankfurt,173,1.88
129.159.143.171,2053,443,true,TLV,Middle East,IL,Tel Aviv,210,1.86
141.148.187.195,443,443,true,LAX,North America,US,Los Angeles,305,1.84
79.72.72.13,443,443,true,FRA,Europe,DE,Frankfurt,260,1.84
141.148.164.242,2053,443,true,LAX,North America,US,Los Angeles,376,1.84
129.151.198.3,2053,443,true,ARN,Europe,SE,Stockholm,272,1.83
158.180.44.230,443,443,true,FRA,Europe,DE,Frankfurt,324,1.81
141.148.242.3,443,443,true,FRA,Europe,DE,Frankfurt,222,1.81
129.151.254.48,443,443,true,MRS,Europe,FR,Marseille,218,1.77
158.101.215.134,443,443,true,FRA,Europe,DE,Frankfurt,340,1.77
143.47.242.53,443,443,true,FRA,Europe,DE,Frankfurt,186,1.77
193.123.56.200,443,443,true,FRA,Europe,DE,Frankfurt,431,1.76
79.72.91.33,443,443,true,FRA,Europe,DE,Frankfurt,284,1.76
130.162.140.69,443,443,true,LAX,North America,US,Los Angeles,336,1.75
193.123.34.218,443,443,true,FRA,Europe,DE,Frankfurt,322,1.74
129.159.249.34,443,443,true,FRA,Europe,DE,Frankfurt,288,1.74
79.72.76.109,2053,443,true,LHR,Europe,GB,London,194,1.72
193.123.33.54,443,443,true,FRA,Europe,DE,Frankfurt,192,1.67
143.47.241.246,443,443,true,FRA,Europe,DE,Frankfurt,232,1.64
